Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
86,Onyeka Okongwu,25,ATL,C,32,21,31.8,6.1,12.4,.489,1.8,5.3,.351,4.2,7.2,.590,.563,2.1,2.7,.770,1.8,5.9,7.6,3.1,1.0,1.1,1.8,3.5,16.1,0.0,okongon01
87,Paul George,35,PHI,PF,14,14,28.0,5.2,12.8,.408,2.6,6.4,.416,2.6,6.4,.400,.511,2.9,3.4,.872,0.4,5.1,5.4,3.4,1.4,0.4,1.8,1.8,16.0,0.0,georgpa01
88,Jordan Poole,26,NOP,PG,14,4,28.1,4.9,13.5,.365,2.3,8.2,.278,2.6,5.3,.500,.450,3.9,4.3,.900,0.2,1.6,1.9,3.5,0.8,0.4,1.8,2.4,16.0,0.0,poolejo01
89,Nikola Vučević,35,CHI,C,30,30,30.0,6.5,13.2,.489,1.8,4.8,.371,4.7,8.5,.555,.555,1.1,1.4,.791,2.2,6.9,9.1,3.3,0.8,0.5,1.5,2.1,15.8,0.0,vucevni01
90,P.J. Washington,27,DAL,PF,27,27,32.1,5.9,12.8,.462,1.4,4.3,.325,4.5,8.5,.533,.517,2.4,3.5,.691,1.5,6.3,7.9,2.0,1.0,1.4,2.4,2.4,15.7,0.0,washipj01
91,Jabari Smith Jr.,22,HOU,PF,28,28,34.3,5.6,12.3,.461,2.3,6.1,.382,3.3,6.2,.538,.555,2.0,2.6,.781,1.4,5.4,6.8,1.9,0.8,0.7,1.4,3.0,15.6,0.0,smithja05
92,Ivica Zubac,28,LAC,C,28,28,32.0,6.8,11.1,.609,0.0,0.0,0.0,6.8,11.1,.609,.609,2.0,2.9,.713,3.4,7.7,11.1,2.5,0.4,1.0,2.0,2.5,15.6,0.0,zubaciv01
93,VJ Edgecombe,20,PHI,SG,26,26,35.0,5.8,13.8,.417,2.0,5.6,.366,3.7,8.3,.451,.490,2.0,2.5,.773,1.9,3.5,5.4,4.0,1.2,0.4,1.7,3.3,15.5,0.0,edgecvj01
94,Jalen Green,23,PHO,SG,2,2,15.0,5.5,11.5,.478,3.0,7.0,.429,2.5,4.5,.556,.609,1.5,2.5,.600,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,15.5,0.0,greenja05
95,Jalen Suggs,24,ORL,PG,21,21,25.6,5.4,11.4,.471,2.0,6.1,.328,3.4,5.3,.634,.558,2.7,3.1,.862,0.8,3.0,3.7,4.8,1.9,0.6,2.7,3.0,15.4,0.0,suggsja01
96,Jaden McDaniels,25,MIN,PF,30,30,32.5,5.9,11.6,.509,1.4,3.5,.404,4.5,8.1,.553,.569,2.1,2.4,.861,1.2,3.4,4.6,2.7,1.1,0.9,1.8,3.6,15.3,0.0,mcdanja02
97,Collin Sexton,27,CHO,SG,23,10,24.5,5.1,10.5,.485,1.3,3.4,.397,3.7,7.1,.528,.550,3.7,4.2,.887,0.4,1.7,2.1,4.0,0.7,0.2,2.3,1.7,15.3,0.0,sextoco01
98,Devin Vassell,25,SAS,SG,31,31,32.0,5.3,12.5,.425,2.7,7.0,.385,2.6,5.5,.476,.534,1.9,2.2,.868,0.5,3.5,4.0,2.5,0.9,0.5,0.9,2.1,15.3,0.0,vassede01
99,OG Anunoby,28,NYK,PF,21,21,31.9,5.3,11.6,.459,2.2,5.9,.379,3.1,5.7,.542,.555,2.2,2.8,.797,1.3,3.9,5.2,2.1,1.8,0.8,2.0,2.5,15.1,0.0,anunoog01
100,Anthony Black,22,ORL,PG,32,12,29.6,5.5,12.0,.457,1.5,4.2,.356,4.0,7.8,.512,.520,2.7,3.9,.685,0.9,3.3,4.2,3.5,1.3,0.6,2.2,2.7,15.1,0.0,blackan01
101,Kyshawn George,22,WAS,SF,27,27,31.9,5.4,11.7,.467,2.2,5.4,.408,3.2,6.2,.518,.562,1.9,2.6,.739,0.9,4.8,5.7,5.1,1.0,0.9,3.1,4.2,15.0,0.0,georgky01
102,Keegan Murray,25,SAC,PF,15,14,37.1,5.9,13.5,.438,1.3,5.1,.263,4.6,8.5,.543,.488,1.7,2.3,.765,1.7,4.7,6.4,1.5,1.5,1.7,1.1,2.1,14.9,0.0,murrake02
103,Aaron Nesmith,26,IND,SF,12,11,29.5,4.8,13.0,.365,2.8,7.6,.374,1.9,5.4,.354,.474,2.6,3.3,.795,1.5,3.0,4.5,1.5,0.8,0.4,0.8,2.5,14.9,0.0,nesmiaa01
