Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
264,Collin Murray-Boyles,20,TOR,PF,26,4,18.0,2.8,5.1,.556,0.5,1.2,.452,2.3,3.9,.588,.609,0.8,1.3,.606,2.0,1.8,3.8,1.4,0.7,0.4,1.2,2.3,7.0,0.0,murraco01
265,Pat Spencer,29,GSW,PG,21,3,15.5,2.6,6.1,.430,0.7,1.8,.395,1.9,4.3,.444,.488,1.0,1.1,.875,0.7,1.6,2.3,3.0,0.7,0.0,1.0,1.4,7.0,0.0,spencpa01
266,Jordan Walsh,21,BOS,PF,26,18,20.5,2.7,4.5,.585,0.8,1.8,.458,1.8,2.7,.671,.678,0.9,1.0,.852,1.5,3.3,4.8,1.0,1.1,0.6,0.7,2.8,7.0,0.0,walshjo01
267,Jevon Carter,30,CHI,PG,14,0,14.3,2.2,5.4,.408,1.7,4.1,.421,0.5,1.4,.368,.566,0.7,0.7,1.000,0.4,1.1,1.4,1.2,0.8,0.0,0.6,1.1,6.9,0.0,carteje01
268,Sion James,23,CHO,SG,31,14,25.7,2.1,5.2,.404,1.2,3.2,.364,0.9,2.0,.468,.516,1.5,1.7,.865,0.5,2.7,3.2,1.6,0.7,0.4,0.9,1.7,6.8,0.0,jamessi01
269,Kyle Anderson,32,UTA,SF,9,0,17.9,2.7,5.4,.490,0.1,0.1,1.000,2.6,5.3,.479,.500,1.2,1.7,.733,0.8,1.8,2.6,3.1,1.4,0.3,1.0,2.6,6.7,0.0,anderky01
270,Luka Garza,27,BOS,C,23,1,14.7,2.3,3.9,.578,0.6,1.3,.419,1.7,2.6,.661,.650,1.6,2.0,.766,2.4,1.6,4.0,1.0,0.3,0.4,0.5,2.7,6.7,0.0,garzalu01
271,Tristan Vukcevic,22,WAS,C,25,2,11.6,2.3,5.0,.460,0.4,2.0,.216,1.9,3.0,.627,.504,1.6,2.1,.774,0.6,2.0,2.5,0.9,0.3,0.5,1.0,1.4,6.7,0.0,vukcetr01
272,Javonte Green,32,DET,SG,32,3,18.3,2.3,5.2,.431,0.9,2.7,.337,1.3,2.5,.531,.518,1.2,1.5,.771,0.8,2.0,2.7,0.8,1.3,0.3,0.7,1.5,6.6,0.0,greenja02
273,Luke Kennard,29,ATL,SG,29,0,19.6,2.3,4.7,.482,1.2,2.9,.424,1.0,1.8,.577,.613,0.8,0.9,.920,0.4,1.4,1.8,2.1,0.7,0.0,0.9,1.2,6.6,0.0,kennalu01
274,Josh Minott,23,BOS,PF,28,10,18.1,2.4,4.6,.508,1.1,2.6,.444,1.2,2.1,.586,.631,0.7,0.9,.769,1.4,2.7,4.1,1.1,0.8,0.4,0.6,1.8,6.6,0.0,minotjo01
275,Josh Okogie,27,HOU,SG,29,21,21.2,2.3,5.0,.458,1.1,2.6,.421,1.2,2.3,.500,.569,0.9,1.3,.730,1.3,1.5,2.8,1.0,1.1,0.2,0.9,1.9,6.6,0.0,okogijo01
276,Nae'Qwan Tomlin,25,CLE,PF,22,2,15.5,2.6,5.4,.479,0.5,2.0,.233,2.1,3.5,.618,.521,1.0,1.5,.688,1.5,1.5,3.0,0.6,0.8,0.6,0.4,2.0,6.6,0.0,tomlina01
277,Cole Anthony,25,MIL,PG,27,0,15.0,2.7,6.4,.428,0.6,1.9,.288,2.2,4.5,.488,.471,0.5,0.8,.591,0.4,2.1,2.6,3.7,0.6,0.3,1.9,2.1,6.5,0.0,anthoco01
278,Ben Sheppard,24,IND,SG,22,11,25.0,2.4,6.7,.354,1.1,4.0,.273,1.3,2.7,.475,.435,0.7,0.9,.789,0.8,3.3,4.1,2.0,0.6,0.1,0.7,2.0,6.5,0.0,sheppbe01
279,Patrick Williams,24,CHI,PF,29,1,18.8,2.2,6.0,.374,1.3,3.2,.402,1.0,2.8,.341,.480,0.7,1.1,.636,0.8,2.2,2.9,1.2,0.8,0.2,0.9,1.4,6.5,0.0,willipa01
280,Walter Clayton,22,UTA,PG,27,0,16.0,2.1,5.0,.426,0.8,2.7,.306,1.3,2.4,.563,.507,1.3,1.4,.947,0.4,1.6,2.0,3.2,0.5,0.2,1.1,1.7,6.4,0.0,claytwa01
281,Jamal Shead,23,TOR,PG,33,1,20.4,2.1,5.9,.356,1.1,3.3,.327,1.0,2.5,.393,.448,1.1,1.4,.783,0.4,1.5,1.8,5.4,1.0,0.1,1.4,2.0,6.4,0.0,sheadja01
282,Dru Smith,28,MIA,SG,32,1,17.6,2.2,5.3,.409,0.7,2.3,.315,1.5,3.1,.480,.477,1.3,1.6,.804,0.9,1.7,2.6,2.8,1.6,0.3,0.9,1.5,6.4,0.0,smithdr01
283,Al Horford,39,GSW,C,15,1,20.5,2.2,6.1,.363,1.5,4.4,.333,0.7,1.7,.440,.484,0.4,0.4,1.000,0.9,3.6,4.5,1.9,1.0,1.0,1.1,1.3,6.3,0.0,horfoal01
284,Bones Hyland,25,MIN,PG,23,3,13.3,2.2,4.6,.476,1.2,3.0,.386,1.0,1.5,.657,.605,0.7,1.0,.739,0.3,1.2,1.4,2.2,0.6,0.2,0.8,1.6,6.3,0.0,hylanbo01
285,Mac McClung,27,IND,SG,3,0,11.3,2.3,6.0,.389,0.7,3.3,.200,1.7,2.7,.625,.444,1.0,1.3,.750,0.0,1.3,1.3,0.3,1.7,0.3,0.7,2.0,6.3,0.0,mccluma01
286,Kobe Sanders,23,LAC,SG,23,3,18.8,2.1,4.7,.449,1.0,2.4,.400,1.1,2.3,.500,.551,1.0,1.1,.923,0.4,1.5,1.9,1.3,0.6,0.1,1.3,2.2,6.2,0.0,sandeko01
287,Kenrich Williams,31,OKC,PF,12,0,15.0,2.5,4.8,.526,0.9,2.2,.423,1.6,2.6,.613,.623,0.3,0.5,.500,0.8,2.3,3.0,1.8,0.6,0.0,0.6,1.1,6.2,0.0,willike04
288,Drake Powell,20,BRK,SG,20,0,17.8,2.2,4.4,.489,0.8,2.0,.375,1.4,2.4,.583,.574,1.0,1.1,.952,0.2,1.6,1.8,2.0,0.8,0.2,1.1,1.8,6.1,0.0,poweldr01
289,Taurean Prince,31,MIL,SF,8,0,21.1,2.1,4.8,.447,1.5,3.5,.429,0.6,1.3,.500,.605,0.4,0.4,1.000,0.0,1.6,1.6,1.0,0.8,0.3,0.6,2.5,6.1,0.0,princta02
290,Ja'Kobe Walter,21,TOR,SG,30,7,17.4,2.1,4.8,.448,1.2,3.0,.396,0.9,1.7,.538,.573,0.6,0.9,.731,0.7,1.2,1.9,0.9,1.0,0.1,0.6,2.0,6.1,0.0,walteja01
291,Alex Caruso,31,OKC,SG,22,0,18.7,2.1,5.4,.395,1.0,3.5,.299,1.1,1.9,.571,.492,0.6,0.7,.875,0.6,2.3,3.0,2.1,1.5,0.4,0.9,1.2,6.0,0.0,carusal01
292,Gradey Dick,22,TOR,SG,33,0,15.7,2.0,5.2,.390,0.8,2.8,.301,1.2,2.4,.494,.471,1.1,1.3,.837,0.4,1.5,1.9,0.7,0.7,0.1,0.5,1.2,6.0,0.0,dickgr01
293,KJ Simpson,23,CHO,PG,14,2,15.9,2.2,6.4,.348,0.9,2.8,.308,1.4,3.6,.380,.416,0.7,1.1,.625,0.4,1.7,2.1,2.5,1.1,0.0,1.7,1.0,6.0,0.0,simpskj01
294,Blake Wesley,22,POR,SG,6,0,16.3,2.3,5.7,.412,0.3,1.7,.200,2.0,4.0,.500,.441,1.0,1.7,.600,0.3,2.0,2.3,3.2,1.7,0.2,1.2,2.3,6.0,0.0,weslebl01
295,Robert Williams,28,POR,C,20,1,15.9,2.7,4.0,.671,0.1,0.5,.111,2.6,3.5,.743,.677,0.6,0.9,.706,2.2,4.1,6.3,0.9,0.6,1.5,0.6,1.3,6.0,0.0,williro04
296,Steven Adams,32,HOU,C,24,6,21.7,2.1,4.4,.481,0.0,0.0,0.0,2.1,4.4,.481,.481,1.6,2.4,.684,4.4,4.2,8.6,1.5,0.7,0.6,1.1,1.8,5.9,0.0,adamsst01
297,Goga Bitadze,26,ORL,C,28,0,16.7,2.3,3.4,.691,0.1,0.3,.250,2.3,3.1,.733,.702,1.2,1.5,.786,1.9,3.2,5.0,1.4,0.8,1.3,0.6,2.1,5.9,0.0,bitadgo01
298,Jaxson Hayes,25,LAL,C,25,4,17.2,2.4,3.1,.766,0.0,0.0,1.000,2.3,3.0,.763,.773,1.1,1.7,.667,1.3,2.7,4.0,1.0,0.3,0.6,0.6,1.9,5.9,0.0,hayesja02
299,Kasparas Jakučionis,19,MIA,PG,7,1,17.4,1.7,5.1,.333,1.3,3.0,.429,0.4,2.1,.200,.458,1.1,1.1,1.000,0.9,1.3,2.1,1.1,0.9,0.0,0.7,1.9,5.9,0.0,jakucka01
300,Jaden Hardy,23,DAL,SG,24,1,11.1,2.0,4.8,.409,1.1,2.9,.377,0.9,1.9,.457,.522,0.8,1.0,.833,0.3,1.0,1.3,0.6,0.3,0.1,0.8,1.1,5.8,0.0,hardyja02
301,Taylor Hendricks,22,UTA,PF,20,3,15.1,2.0,4.2,.482,0.8,2.1,.390,1.2,2.1,.571,.578,1.0,1.2,.792,1.2,2.2,3.3,0.6,0.5,0.3,0.4,1.1,5.8,0.0,hendrta01
302,Kris Murray,25,POR,SF,30,8,25.6,2.3,5.0,.460,0.5,2.1,.250,1.8,2.9,.616,.513,0.7,1.0,.677,1.8,2.3,4.1,1.2,1.1,0.4,1.0,2.0,5.8,0.0,murrakr01
303,Dean Wade,29,CLE,PF,31,10,23.0,1.9,5.0,.387,1.2,3.7,.319,0.7,1.3,.590,.506,0.7,1.0,.733,0.9,3.2,4.1,1.7,0.7,0.4,0.3,1.8,5.8,0.0,wadede01
304,Spencer Jones,24,DEN,SF,27,16,19.8,2.1,4.0,.537,0.8,2.1,.379,1.3,1.9,.720,.639,0.5,0.9,.560,1.3,1.3,2.6,1.0,0.9,0.3,0.7,2.5,5.6,0.0,jonessp01
305,Ethan Thompson,26,IND,SG,12,5,20.8,2.0,5.3,.381,1.3,3.8,.333,0.8,1.5,.500,.500,0.3,0.5,.667,0.8,1.4,2.3,1.8,0.6,0.3,0.8,2.6,5.6,0.0,thompet01
306,Eric Gordon,37,PHI,SG,6,0,12.3,2.0,3.5,.571,1.3,2.3,.571,0.7,1.2,.571,.762,0.2,0.3,.500,0.2,0.2,0.3,0.5,0.7,0.2,0.5,0.5,5.5,0.0,gordoer01
307,Dalton Knecht,24,LAL,SF,25,1,13.7,2.1,4.6,.456,0.9,2.6,.338,1.2,2.0,.612,.553,0.4,0.6,.688,0.4,1.4,1.8,0.5,0.3,0.3,0.4,1.1,5.5,0.0,knechda01
308,Asa Newell,20,ATL,PF,23,0,10.6,2.1,3.6,.590,0.9,1.7,.513,1.3,1.9,.659,.711,0.4,0.6,.643,0.8,1.1,1.9,0.5,0.3,0.3,0.5,1.5,5.5,0.0,newelas01
309,Micah Potter,27,IND,C,2,0,14.5,1.5,3.0,.500,0.5,1.5,.333,1.0,1.5,.667,.583,2.0,2.0,1.000,1.5,1.0,2.5,0.5,0.0,0.5,0.0,0.0,5.5,0.0,pottemi01
310,Paul Reed,26,DET,C,24,2,10.1,2.3,3.8,.622,0.3,0.6,.429,2.1,3.2,.658,.656,0.5,0.9,.619,1.8,2.0,3.8,1.0,0.7,0.7,0.9,1.4,5.5,0.0,reedpa01
311,Jaylin Williams,23,OKC,PF,25,3,18.3,1.8,5.0,.355,1.2,4.1,.294,0.6,0.9,.636,.476,0.8,1.2,.655,0.5,4.2,4.7,2.4,0.7,0.5,1.0,1.8,5.5,0.0,willija07
312,Justin Champagnie,24,WAS,SF,28,8,15.8,1.9,4.3,.446,0.5,1.6,.283,1.5,2.7,.547,.500,1.1,1.4,.769,2.0,3.3,5.3,0.9,0.7,0.5,0.4,1.4,5.4,0.0,champju01
313,Sidy Cissoko,21,POR,SF,27,10,20.1,1.8,4.7,.375,0.8,2.9,.282,1.0,1.9,.520,.461,1.0,1.4,.711,0.7,1.4,2.1,1.5,0.6,0.2,1.1,2.6,5.4,0.0,cissosi01
314,Nique Clifford,23,SAC,SG,28,3,18.4,2.0,5.0,.397,0.6,2.3,.286,1.4,2.8,.487,.461,0.7,1.0,.714,0.7,2.4,3.1,1.4,0.6,0.3,1.0,2.1,5.4,0.0,cliffni01
315,Justin Edwards,22,PHI,SF,27,5,16.4,1.9,5.1,.370,1.1,3.4,.337,0.7,1.7,.435,.482,0.5,0.6,.933,0.6,1.3,1.8,1.3,0.7,0.3,0.8,1.7,5.4,0.0,edwarju01
316,Keon Ellis,26,SAC,SG,30,4,17.2,1.9,4.8,.389,1.2,3.4,.356,0.7,1.4,.465,.514,0.4,0.7,.591,0.3,1.0,1.3,0.6,1.3,0.5,0.5,1.7,5.4,0.0,elliske01
317,Jordan Miller,26,LAC,SF,10,0,13.4,1.5,3.2,.469,0.7,1.6,.438,0.8,1.6,.500,.578,1.7,2.0,.850,1.1,1.7,2.8,1.1,0.3,0.2,0.9,0.8,5.4,0.0,millejo02
318,Yves Missi,21,NOP,C,25,6,17.5,2.4,4.0,.584,0.0,0.0,0.0,2.4,4.0,.584,.584,0.6,1.2,.516,3.0,2.2,5.2,1.0,0.3,1.2,0.9,1.8,5.4,0.0,missiyv01
319,Ben Saraf,19,BRK,SG,12,5,16.9,1.8,5.2,.355,0.8,2.8,.273,1.1,2.4,.448,.427,1.0,1.3,.800,0.4,1.2,1.6,2.8,0.7,0.3,1.9,1.3,5.4,0.0,sarafbe01
320,Drew Eubanks,28,SAC,C,25,11,14.4,2.2,3.6,.615,0.0,0.1,.500,2.2,3.6,.618,.621,0.8,1.5,.526,0.8,2.0,2.8,0.3,0.5,0.7,0.9,1.4,5.3,0.0,eubandr01
321,Josh Green,25,CHO,SG,7,0,14.3,1.9,3.6,.520,1.4,3.1,.455,0.4,0.4,1.000,.720,0.1,0.3,.500,0.7,1.0,1.7,1.0,1.0,0.0,0.4,1.1,5.3,0.0,greenjo02
322,Mouhamed Gueye,23,ATL,PF,32,3,15.8,2.1,4.4,.486,0.5,1.9,.250,1.7,2.5,.663,.539,0.5,0.9,.607,1.1,2.3,3.4,0.8,0.5,0.7,0.6,1.7,5.3,0.0,gueyemo02
323,Tyrese Proctor,21,CLE,PG,24,1,11.7,1.8,5.0,.350,1.0,3.2,.303,0.8,1.8,.432,.446,0.8,1.0,.826,0.2,1.2,1.4,1.4,0.3,0.0,0.5,1.1,5.3,0.0,proctty01
324,Lonzo Ball,28,CLE,PG,25,3,23.2,1.7,5.8,.299,1.2,4.7,.256,0.5,1.1,.481,.403,0.6,0.8,.700,1.0,3.2,4.2,4.6,1.4,0.2,1.6,1.5,5.2,0.0,balllo01
325,Mike Conley,38,MIN,PG,27,6,19.3,1.5,4.3,.357,1.1,3.1,.361,0.4,1.2,.344,.487,1.1,1.1,.935,0.4,1.5,1.9,3.2,0.7,0.3,0.6,1.7,5.2,0.0,conlemi01
326,Garrison Mathews,29,IND,SG,15,1,13.1,1.4,3.5,.404,1.1,3.1,.370,0.3,0.4,.667,.567,1.3,1.5,.826,0.1,1.0,1.1,0.7,0.4,0.2,0.2,1.3,5.2,0.0,mathega01
327,Oso Ighodaro,23,PHO,PF,31,6,18.8,2.4,3.8,.613,0.0,0.0,.000,2.4,3.8,.619,.613,0.4,0.9,.393,1.2,3.1,4.3,1.8,0.8,0.5,1.2,2.7,5.1,0.0,ighodos01
328,Tyler Kolek,24,NYK,PG,27,1,13.1,2.1,4.6,.463,0.6,2.0,.321,1.5,2.6,.571,.533,0.3,0.4,.636,0.3,1.4,1.7,2.8,0.5,0.1,0.9,1.4,5.1,0.0,kolekty01
329,Craig Porter Jr.,25,CLE,PG,28,0,16.2,2.1,4.0,.518,0.6,1.4,.421,1.5,2.6,.568,.589,0.4,0.6,.588,1.4,1.7,3.1,2.5,1.0,0.5,0.8,1.1,5.1,0.0,portecr01
330,Jordan Hawkins,23,NOP,SG,24,0,14.2,1.8,5.3,.339,1.0,3.0,.338,0.8,2.3,.339,.433,0.4,0.6,.714,0.4,1.3,1.7,0.8,0.1,0.1,0.5,0.6,5.0,0.0,hawkijo01
331,Jase Richardson,20,ORL,SG,21,0,10.3,1.9,3.9,.494,0.6,1.6,.394,1.3,2.3,.563,.574,0.6,0.9,.722,0.6,0.8,1.4,1.2,0.3,0.0,0.6,0.9,5.0,0.0,richaja02
332,Jeremy Sochan,22,SAS,PF,21,0,14.7,2.0,4.1,.494,0.3,1.2,.269,1.7,2.9,.590,.534,0.5,0.8,.688,1.1,2.0,3.1,1.2,0.5,0.2,0.8,2.0,5.0,0.0,sochaje01
333,Matisse Thybulle,28,POR,SG,4,0,12.3,1.5,2.5,.600,1.0,1.5,.667,0.5,1.0,.500,.800,1.0,1.0,1.000,0.0,1.0,1.0,0.8,2.5,0.0,0.3,1.8,5.0,0.0,thybuma01
334,Jarred Vanderbilt,26,LAL,PF,21,2,18.9,1.7,3.9,.444,0.6,1.5,.387,1.1,2.4,.480,.519,0.9,1.2,.760,1.8,3.6,5.4,1.3,1.0,0.3,1.4,2.0,4.9,0.0,vandeja01
335,Jalen Wilson,25,BRK,PF,21,0,13.3,1.6,4.2,.375,1.0,2.8,.356,0.6,1.4,.414,.494,0.8,1.0,.762,0.1,0.9,1.0,0.5,0.2,0.0,0.5,1.2,4.9,0.0,wilsoja03
336,Thomas Bryant,28,CLE,C,26,0,9.7,1.8,3.5,.511,0.5,1.6,.317,1.3,1.9,.673,.583,0.8,1.0,.800,0.8,2.0,2.8,0.4,0.2,0.4,0.3,1.2,4.8,0.0,bryanth01
337,Branden Carlson,26,OKC,C,22,1,10.0,2.0,3.5,.571,0.7,1.7,.405,1.3,1.8,.725,.669,0.1,0.3,.429,0.5,1.6,2.1,0.6,0.1,0.5,0.3,0.9,4.8,0.0,carlsbr01
338,Jett Howard,22,ORL,SF,23,0,10.8,1.7,4.2,.417,1.0,2.8,.338,0.8,1.3,.581,.531,0.4,0.4,1.000,0.3,1.0,1.3,0.8,0.2,0.1,0.2,1.0,4.8,0.0,howarje01
339,Liam McNeeley,20,CHO,SF,20,0,13.1,1.4,3.5,.406,1.0,2.3,.413,0.5,1.2,.391,.543,1.1,1.3,.840,0.5,1.8,2.3,0.9,0.2,0.1,0.5,1.5,4.8,0.0,mcneeli01
340,Trey Alexander,22,NOP,SG,3,0,12.3,2.0,3.0,.667,0.7,1.0,.667,1.3,2.0,.667,.778,0.0,0.0,0.0,0.0,1.3,1.3,1.3,0.3,0.3,0.3,1.3,4.7,0.0,alexatr01
341,Nicolas Batum,37,LAC,PF,30,3,20.7,1.5,3.9,.390,1.5,3.7,.393,0.1,0.2,.333,.576,0.2,0.2,.857,0.5,2.2,2.7,0.7,0.8,0.4,0.7,1.9,4.7,0.0,batumni01
342,GG Jackson II,21,MEM,PF,12,1,11.6,1.8,4.6,.382,0.3,2.1,.160,1.4,2.5,.567,.418,0.8,1.3,.667,0.3,2.3,2.6,0.4,0.9,0.3,0.3,1.1,4.7,0.0,jacksgg01
343,A.J. Lawson,25,TOR,SG,3,0,7.7,1.3,3.7,.364,0.7,1.3,.500,0.7,2.3,.286,.455,1.3,1.3,1.000,0.3,1.7,2.0,0.0,0.3,0.7,0.0,1.7,4.7,0.0,lawsoaj01
344,Gabe Vincent,29,LAL,PG,14,6,21.5,1.5,4.3,.350,1.2,3.4,.362,0.3,0.9,.308,.492,0.5,0.5,1.000,0.3,0.6,0.9,1.4,0.5,0.1,0.4,2.5,4.7,0.0,vincega01
345,RayJ Dennis,24,2TM,PG,14,0,12.3,1.6,5.1,.306,0.9,2.7,.316,0.7,2.4,.294,.389,0.6,0.6,.889,0.6,1.1,1.6,1.9,0.2,0.3,1.1,1.1,4.6,0.0,dennira01
345,RayJ Dennis,24,IND,PG,13,0,12.9,1.7,5.5,.306,0.9,2.9,.316,0.8,2.6,.294,.389,0.6,0.7,.889,0.6,1.0,1.6,2.0,0.2,0.3,1.1,1.2,4.9,0.0,dennira01
345,RayJ Dennis,24,LAC,PG,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,dennira01
346,Trayce Jackson-Davis,25,GSW,C,21,1,12.9,1.9,3.1,.600,0.0,0.0,0.0,1.9,3.1,.600,.600,0.9,1.5,.613,1.5,2.2,3.8,1.1,0.3,0.7,0.6,1.3,4.6,0.0,jackstr02
347,Olivier-Maxence Prosper,23,MEM,PF,19,0,10.5,1.4,2.9,.482,0.4,1.1,.350,1.1,1.9,.556,.545,1.4,1.5,.929,0.6,1.4,2.0,0.8,0.2,0.1,0.5,0.8,4.6,0.0,prospol01
348,Jeremiah Robinson-Earl,25,IND,PF,17,3,17.6,1.7,4.9,.349,0.5,1.9,.242,1.2,2.9,.420,.398,0.8,0.8,.929,1.9,3.3,5.2,0.7,0.4,0.1,0.6,1.4,4.6,0.0,robinje02
349,Ochai Agbaji,25,TOR,SG,25,9,16.8,1.8,4.3,.417,0.3,1.5,.184,1.5,2.8,.543,.449,0.6,0.8,.842,0.6,1.8,2.4,0.8,0.5,0.2,0.3,2.1,4.5,0.0,agbajoc01
350,Johnny Furphy,21,IND,SG,14,1,14.6,1.8,3.6,.500,0.6,1.7,.333,1.2,1.9,.654,.580,0.4,0.6,.556,0.7,1.9,2.6,0.3,0.5,0.0,0.6,1.5,4.5,0.0,furphjo01
351,DeAndre Jordan,37,NOP,C,2,1,11.5,2.0,2.5,.800,0.0,0.0,0.0,2.0,2.5,.800,.800,0.5,1.0,.500,2.0,3.0,5.0,0.0,0.0,0.0,0.5,0.5,4.5,0.0,jordade01
352,Karlo Matković,24,NOP,PF,22,0,11.4,2.0,3.2,.620,0.4,0.8,.444,1.6,2.4,.679,.676,0.1,0.5,.300,0.8,2.5,3.3,0.8,0.1,0.6,0.5,1.5,4.5,0.0,matkoka01
353,Doug McDermott,34,SAC,SF,4,0,10.8,1.5,3.5,.429,1.5,3.5,.429,0.0,0.0,0.0,.643,0.0,0.0,0.0,0.0,0.8,0.8,0.3,0.0,0.3,0.3,0.8,4.5,0.0,mcderdo01
354,Mitchell Robinson,27,NYK,C,22,11,18.5,1.9,2.8,.689,0.0,0.0,0.0,1.9,2.8,.689,.689,0.7,1.8,.400,4.7,4.0,8.7,1.1,0.9,1.1,0.8,2.2,4.5,0.0,robinmi01
355,Terrence Shannon Jr.,25,MIN,SG,22,0,12.8,1.5,3.7,.395,0.7,1.7,.405,0.8,2.0,.386,.488,1.0,1.2,.778,0.3,1.0,1.3,0.6,0.3,0.0,0.7,1.3,4.5,0.0,shannte01
356,Tony Bradley,28,IND,C,26,3,10.8,1.7,3.0,.584,0.0,0.0,.000,1.7,2.9,.592,.584,0.9,1.3,.727,1.6,1.0,2.6,0.5,0.1,0.2,0.4,2.0,4.4,0.0,bradlto01
357,Ousmane Dieng,22,OKC,C,17,0,12.5,1.6,3.6,.443,0.8,1.9,.438,0.8,1.7,.448,.557,0.4,0.4,1.000,0.4,1.4,1.8,0.9,0.1,0.3,0.4,1.1,4.4,0.0,diengou01
358,Hugo González,19,BOS,SF,26,1,14.8,1.8,3.5,.522,0.5,1.3,.371,1.3,2.2,.614,.592,0.2,0.4,.545,0.8,2.3,3.2,0.6,0.8,0.3,0.7,2.0,4.4,0.0,gonzahu01
359,Micah Peavy,24,NOP,SG,27,1,14.8,1.9,4.6,.407,0.4,1.5,.244,1.5,3.0,.488,.447,0.4,0.5,.714,0.9,1.3,2.2,0.9,0.6,0.1,0.3,1.5,4.4,0.0,peavymi01
360,Will Riley,19,WAS,SF,24,0,12.0,1.6,3.8,.429,0.3,1.2,.214,1.4,2.6,.524,.462,0.9,1.2,.786,0.6,1.1,1.7,1.1,0.3,0.1,0.5,0.7,4.4,0.0,rileywi01
361,Jaylen Clark,24,MIN,SG,29,0,14.1,1.5,3.5,.422,0.6,1.7,.320,0.9,1.8,.519,.500,0.8,1.3,.595,1.0,0.9,1.9,0.5,0.7,0.1,0.4,1.7,4.3,0.0,clarkja02
362,Dereck Lively II,21,DAL,C,7,4,16.4,1.6,2.6,.611,0.0,0.0,0.0,1.6,2.6,.611,.611,1.1,1.4,.800,2.0,3.3,5.3,1.9,0.6,1.6,1.4,3.0,4.3,0.0,livelde01
363,Jabari Walker,23,PHI,PF,29,6,13.4,1.4,3.3,.433,0.4,1.4,.293,1.0,1.9,.536,.495,1.0,1.3,.737,1.4,2.2,3.6,0.5,0.2,0.3,0.5,1.8,4.3,0.0,walkeja01
364,Noah Penda,21,ORL,SF,19,0,11.0,1.5,3.4,.453,0.6,1.3,.440,0.9,2.1,.462,.539,0.5,0.8,.600,1.7,2.2,3.9,1.2,0.3,0.3,0.7,1.0,4.1,0.0,pendano01
365,Adem Bona,22,PHI,C,22,3,16.7,1.4,2.5,.556,0.1,0.2,.400,1.3,2.2,.571,.574,1.2,1.8,.650,1.8,2.0,3.8,0.2,0.3,1.5,0.7,2.2,4.0,0.0,bonaad01
366,Brandon Clarke,29,MEM,PF,2,2,10.0,1.5,4.5,.333,0.0,0.0,0.0,1.5,4.5,.333,.333,1.0,2.0,.500,2.0,1.0,3.0,0.5,1.0,0.0,0.0,2.5,4.0,0.0,clarkbr01
367,Kevin McCullar Jr.,24,NYK,SF,4,0,7.3,1.3,2.0,.625,1.0,1.8,.571,0.3,0.3,1.000,.875,0.5,1.3,.400,1.0,1.3,2.3,0.5,0.5,0.0,1.0,1.0,4.0,0.0,mcculke01
368,Kelly Olynyk,34,SAS,C,18,0,9.8,1.3,2.6,.511,0.4,1.3,.292,0.9,1.3,.739,.585,0.9,1.3,.739,0.7,1.5,2.2,1.4,0.4,0.0,0.7,1.3,4.0,0.0,olynyke01
369,Gary Payton II,33,GSW,SG,30,1,11.9,1.8,3.6,.495,0.3,1.1,.265,1.5,2.4,.603,.537,0.1,0.2,.571,1.1,2.0,3.1,1.8,0.6,0.4,0.8,1.5,4.0,0.0,paytoga02
370,Keaton Wallace,26,ATL,PG,28,2,13.1,1.5,3.7,.398,0.9,2.3,.391,0.6,1.4,.410,.519,0.2,0.4,.500,0.0,1.4,1.4,2.5,0.6,0.1,0.7,1.3,4.0,0.0,wallake01
371,Dylan Cardwell,24,SAC,C,9,1,17.9,1.3,2.6,.522,0.0,0.1,.000,1.3,2.4,.545,.522,1.2,2.2,.550,1.9,3.0,4.9,0.9,1.0,1.8,0.8,3.3,3.9,0.0,cardwdy01
372,Cam Christie,20,LAC,SG,19,0,10.2,1.2,3.3,.349,0.5,1.5,.310,0.7,1.8,.382,.421,1.1,1.6,.700,0.4,1.5,1.9,0.6,0.3,0.1,0.3,0.6,3.9,0.0,chrisca02
373,Julian Strawther,23,DEN,SG,15,0,8.9,1.3,3.5,.385,0.3,1.6,.208,1.0,1.9,.536,.433,0.9,1.2,.722,0.1,1.2,1.3,0.5,0.1,0.1,0.4,0.9,3.9,0.0,strawju01
374,Malaki Branham,22,WAS,SG,16,0,7.8,1.2,2.7,.442,0.3,1.1,.222,0.9,1.6,.600,.488,1.1,1.4,.818,0.4,1.2,1.6,0.7,0.1,0.1,0.5,0.8,3.8,0.0,branhma01
375,Rob Dillingham,21,MIN,PG,26,0,10.6,1.5,4.4,.342,0.3,1.0,.296,1.2,3.3,.356,.377,0.5,0.7,.778,0.2,1.1,1.3,1.9,0.6,0.1,1.0,1.2,3.8,0.0,dilliro01
376,Jamison Battle,24,TOR,SF,23,1,8.1,1.3,2.3,.596,0.7,1.4,.500,0.7,0.9,.750,.750,0.2,0.2,.800,0.2,1.2,1.4,0.4,0.2,0.0,0.3,0.7,3.6,0.0,battlja01
